catchment_id,replicate,NSE_cal,logNSE_cal,KGE_cal,NSE_val,logNSE_val,KGE_val,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,parprecip_corr_factor
56012,4,0.781939798,0.75383212,0.795650024,0.845989841,0.14644788,0.912312546,1.062963992,231.9349358,0.386175403,0.330181717,0.092741066,0.62729634,8.153791228,49.11993775,1.70528059,4.83429409,0.083081491,0.096949836,0.490588889,1.429504352,1.052484944
56013,9,0.85727648,0.806730282,0.878502877,0.824051854,0.344502177,0.881137394,1.141087528,61.37172485,0.805474198,0.301668433,0.133776744,0.540519232,7.666419822,28.25766617,2.739476612,2.806427573,0.05650635,0.014113312,0.33422851,0.676919153,1.064297527
57004,3,0.873509652,0.771329677,0.861554044,0.837483648,0.330929381,0.813190648,2.196432789,87.4445382,0.451350823,0.373784863,0.068428316,0.59695639,6.568777996,41.40603401,0.879410353,2.719206768,0.095104211,0.028403133,0.441033622,0.91426153,1.021469576
57005,3,0.861849296,0.773022802,0.857816913,0.84347748,0.245085601,0.850967166,1.931295015,189.4783701,0.882054342,0.395118092,0.0805069,0.661283631,7.960514206,22.00151469,0.614621328,2.623525172,0.002481101,0.100509644,0.613104834,1.548405276,1.128505051
57006,6,0.834425083,0.765319077,0.73931753,0.844239608,0.31243987,0.815394983,2.247995782,90.82499077,0.505471508,0.388286499,0.119678055,0.69371135,8.713675253,54.6855029,0.033072317,3.493177014,0.014288506,0.143897714,1.721389321,0.340932989,1.148053089
57007,4,0.805859656,0.60735464,0.747668408,0.787498749,-0.218231888,0.750061319,1.652415984,92.99149606,0.78840699,0.43287362,0.005681609,0.222885299,4.018846389,32.41818218,0.309223353,1.190076776,0.004456037,0.020439438,0.397571293,4.555410951,1.011660232
57008,7,0.824105436,0.715981511,0.874073336,0.861907875,0.325945248,0.917457378,1.391615206,115.5523064,0.965221449,0.367271823,0.132950853,0.671233399,5.735503418,30.01674966,0.421732017,0.662477903,0.02990645,0.041310118,0.178876755,0.328473584,1.010016011
57009,6,0.806710838,0.773961505,0.837545461,0.81491038,0.166881856,0.833038421,1.311818004,86.37156184,0.764764649,0.237432252,0.028772799,0.367745961,4.132158888,0.331902419,2.517256046,4.657526059,0.022445721,0.197249598,0.898260705,2.633521311,1.079438486
58001,7,0.819821043,0.713625864,0.864537852,0.783375576,0.193941199,0.850155244,3.007521926,149.3975659,0.578213513,0.478921355,0.12347916,0.853820869,5.439648397,7.425114403,2.027435759,4.993793536,0.052525283,0.156289651,0.365133409,3.374734505,1.041583599
58002,1,0.852113036,0.766453369,0.858359416,0.808164069,0.383608931,0.857485747,2.69690994,198.9290305,0.596661985,0.397039632,0.1832807,0.79091995,6.275006726,43.97139194,0.110066128,4.940691944,0.072224825,0.087171026,0.800133422,0.558081389,1.119155201
58006,6,0.885945221,0.797836961,0.938931703,0.848249392,0.390217436,0.904844711,4.124238296,107.6669488,0.933615393,0.385839725,0.055901184,0.628945239,2.886466048,14.16308249,0.81560153,2.699033262,0.004153032,0.188320875,0.075197495,5.304620253,1.036289754
58008,6,0.851491175,0.803483332,0.840429556,0.832773051,0.475126634,0.798530404,1.171294061,78.226926,0.729278997,0.241719921,0.118918284,0.988390269,4.826703141,11.5108585,0.079681507,0.621275151,0.027998675,0.128666267,0.323405934,2.047435224,1.075325797
58009,8,0.773393035,0.493781679,0.862424635,0.733990671,-0.535370677,0.843661125,2.615526636,283.0286675,0.632949366,0.303408348,0.082124598,0.86551995,7.218151758,69.87890499,3.028952774,2.525594364,0.07963371,0.11067885,0.021014409,0.282741974,1.004249677
58010,8,0.814186699,0.688760835,0.872459872,0.7727155,0.453962956,0.816564512,5.88421089,123.6791024,0.781129116,0.488276369,0.071274989,0.659238755,4.455008768,9.25623845,1.390982868,3.124126285,0.078224348,0.143739125,2.018205812,0.182187701,1.069793636
58012,10,0.833253934,0.666053233,0.825339001,0.807831085,0.019566685,0.78167186,3.340395782,71.04276299,0.162049769,0.461296675,0.049276809,0.228391769,7.91547854,37.7685168,0.248946432,3.54475315,0.043257828,0.056516396,0.029820566,5.203069332,1.096703126
59001,10,0.814047653,0.76546959,0.869778865,0.781783887,0.333666924,0.828135564,2.75972982,190.0598339,0.720738643,0.389364082,0.094486209,0.295860032,5.928049682,33.39183655,2.219756192,3.076060172,0.093521716,0.098055641,1.170475936,0.468873013,1.225840684
60002,1,0.828452852,0.831804259,0.843154354,0.816376025,0.478878784,0.826756664,1.878927566,173.3077596,0.771067036,0.37387352,0.13489167,0.234614413,9.47716974,45.5329983,0.093612025,3.255091214,0.055008639,0.027549971,1.181961922,0.563089643,1.212333744
60003,4,0.838267659,0.765915113,0.891415382,0.821824063,0.359072601,0.805895075,1.202746699,102.014206,0.680132432,0.47862829,0.097280423,0.457133206,4.127368042,75.37234625,1.310131422,1.812129435,0.022810559,0.172053314,0.265027468,2.452175285,1.086485916
60005,8,0.788696505,0.729378288,0.834875653,0.686300876,0.455841609,0.583814139,1.698684825,200.7234995,0.389976363,0.40351214,0.10387529,0.86986959,3.425896584,46.82336765,2.194588406,1.289746383,0.091754457,0.023936754,0.532728516,2.180830678,1.03354882
60006,6,0.861076415,0.852371443,0.86739707,0.852614907,0.326517406,0.88790405,2.911484373,77.9712134,0.682245843,0.355387052,0.073984963,0.932077735,4.444167698,66.32309354,0.645785851,3.908425887,0.047119763,0.039661959,1.617506262,0.562376301,1.042319062
60010,6,0.867644128,0.764514735,0.927942852,0.864329132,0.314521034,0.90507708,3.215218154,164.3985518,0.880290369,0.233599846,0.130218119,0.825106932,1.738132912,16.72122429,1.147495921,3.914982197,0.032142019,0.035638614,1.473398369,1.429750567,1.059686067
60012,2,0.846270503,0.792418837,0.908018484,0.783931061,0.392974304,0.822742848,5.327911704,151.5896657,0.493144705,0.27278864,0.155661493,0.939559774,8.268130454,0.981566735,1.773402198,4.778410773,0.011094766,0.001356677,0.148723274,1.160576504,1.06658587
6007,5,0.849625928,0.650906763,0.908495575,0.77250645,-0.179812002,0.870131244,2.661180762,66.10643402,0.32604652,0.220383029,0.068949706,0.943888011,6.54179926,50.57465593,0.017261709,1.113177625,0.053310432,0.141972628,0.521399611,3.739378073,1.014277465
6008,4,0.783696958,0.770035183,0.758153421,0.677114977,0.597786043,0.733724416,1.754964468,68.04346567,0.670921695,0.386182598,0.153340931,0.4879509,3.926555509,12.51261228,0.024331754,1.949710015,0.059957344,0.122767702,2.290782582,0.645155484,1.126313846
61001,10,0.799901803,0.712884721,0.898443901,0.687738562,0.060094276,0.757904637,1.08795133,82.87112974,0.786745142,0.322744052,0.063678821,0.75252437,5.518078777,44.81783432,3.8709049,3.583554927,0.048550531,0.189653535,0.024372251,1.574898002,1.049582557
61002,3,0.794110295,0.749636486,0.865901091,0.790392308,0.144865019,0.820346833,1.057786058,257.7770881,0.700412463,0.373083416,0.06665018,0.29888642,3.552387767,91.24169907,0.345317915,2.32719551,0.076021121,0.082037751,0.704978128,0.986441105,1.07217325
62001,6,0.911186938,0.813372415,0.924466114,0.892692799,0.372475675,0.849140903,1.718163542,157.9237928,0.320245283,0.497926386,0.137857452,0.471590693,9.736922182,77.94116586,1.525560551,3.154834704,0.015812261,0.194441507,2.868122668,0.622342383,1.115981012
63001,1,0.850525143,0.866248664,0.812088942,0.802702406,0.520580074,0.760969803,1.222357275,54.49557717,0.510238137,0.48270633,0.115037907,0.545421929,2.237316249,75.92313791,0.726575962,4.091736601,0.002087443,0.152535923,0.631786157,1.374911829,1.007508984
63004,7,0.822079737,0.857245064,0.748768455,0.761836678,0.446987308,0.676599867,1.103869438,75.64451687,0.670662386,0.496338666,0.060352336,0.492284106,2.033145018,25.97944563,1.600526663,4.327871752,0.023387309,0.180251399,0.074040296,2.473377791,1.024397582
64001,9,0.8657755,0.785474542,0.822656023,0.775323867,-0.289298754,0.78085985,4.392765149,120.9370526,0.891388162,0.405520623,0.140838221,0.856969812,5.576076634,65.25172375,0.805753013,4.10866717,0.062360493,0.019942297,1.051573631,0.718451858,1.02651986
64002,5,0.803136549,0.671772642,0.880581318,0.650061264,-0.168879601,0.827773591,3.410610272,124.6007431,0.603023601,0.467752432,0.107835107,0.494163322,3.937581559,71.52586702,3.095697947,4.305261483,0.073153797,0.011044756,0.187060263,2.130226284,1.086249447
65001,2,0.830831363,0.81127768,0.865766115,0.813137894,0.488395017,0.874289469,3.876612501,76.42457555,0.188219912,0.467817016,0.099544694,0.817915799,4.615174893,73.4019339,0.071980507,4.651644037,0.025040777,0.149540105,0.15815523,0.57621968,1.100123066
65004,7,0.350831653,0.291717778,0.637689089,0.535574032,-0.128564996,0.690494834,1.650777431,490.7853412,0.189580843,0.3411681,0.119768507,0.525693815,9.419106828,70.81795056,1.654922909,2.076906054,0.026107293,0.188949644,0.38633354,2.498147716,1.002902698
65005,6,0.547396366,0.737495186,0.651710407,0.707152376,0.270862731,0.742576186,1.325668863,194.9281019,0.906735293,0.418601846,0.086850616,0.272820557,4.489119773,54.72942619,1.152113422,2.9360028,0.027051704,0.057020026,0.21299234,2.447875541,1.079362114
65006,8,0.83695597,0.809714773,0.848763948,0.800489075,0.421775561,0.839967898,1.188646472,244.4821787,0.921721186,0.106595515,0.141437342,0.303486368,0.211915446,23.5394028,0.572918199,1.252619751,0.014596578,0.106185546,1.416414583,1.625213512,1.086505811
65007,5,0.807421476,0.828941807,0.881950777,0.795564743,0.460533852,0.852339031,1.2841919,171.6892341,0.392320655,0.074349078,0.13253599,0.664358685,1.173652829,15.2534345,0.39144439,4.079804,0.016131359,0.007456289,1.941923805,0.121675702,1.075081306
